system:time_start,precipitationCal
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0.001
"Aug 1, 2018",0.001
"Aug 1, 2018",0.001
"Aug 1, 2018",0.002
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0.131
"Aug 1, 2018",1.921
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0.29
"Aug 1, 2018",0.209
"Aug 1, 2018",0.028
"Aug 1, 2018",0.04
"Aug 1, 2018",0.056
"Aug 1, 2018",0.061
"Aug 1, 2018",0.078
"Aug 1, 2018",0.043
"Aug 1, 2018",0.033
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 1, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0.005
"Aug 2, 2018",0.01
"Aug 2, 2018",0.026
"Aug 2, 2018",0.05
"Aug 2, 2018",0.07
"Aug 2, 2018",0.119
"Aug 2, 2018",0.124
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0.001
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0.003
"Aug 2, 2018",0.004
"Aug 2, 2018",0.008
"Aug 2, 2018",0.006
"Aug 2, 2018",0.005
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 2, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0
"Aug 3, 2018",0.849
"Aug 3, 2018",1.126
"Aug 3, 2018",2.059
"Aug 3, 2018",1.47
"Aug 3, 2018",0.72
"Aug 3, 2018",0.559
"Aug 3, 2018",0.001
"Aug 3, 2018",0.01
"Aug 3, 2018",0.013
"Aug 3, 2018",0.021
"Aug 3, 2018",0.073
"Aug 3, 2018",0.083
"Aug 3, 2018",0.152
"Aug 3, 2018",0.202
"Aug 3, 2018",0.099
"Aug 3, 2018",0
"Aug 3, 2018",0.002
"Aug 3, 2018",0.097
"Aug 3, 2018",0.118
"Aug 3, 2018",0.226
"Aug 3, 2018",0.301
"Aug 3, 2018",0.141
"Aug 4, 2018",0.076
"Aug 4, 2018",0.058
"Aug 4, 2018",0.007
"Aug 4, 2018",0.007
"Aug 4, 2018",0.004
"Aug 4, 2018",0.002
"Aug 4, 2018",0.001
"Aug 4, 2018",0.001
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0.084
"Aug 4, 2018",0.107
"Aug 4, 2018",0.173
"Aug 4, 2018",0.103
"Aug 4, 2018",0.08
"Aug 4, 2018",0.004
"Aug 4, 2018",0.049
"Aug 4, 2018",0.058
"Aug 4, 2018",0.047
"Aug 4, 2018",0.057
"Aug 4, 2018",0.091
"Aug 4, 2018",0.098
"Aug 4, 2018",0
"Aug 4, 2018",0.038
"Aug 4, 2018",0.073
"Aug 4, 2018",0.14
"Aug 4, 2018",0.304
"Aug 4, 2018",0.532
"Aug 4, 2018",1.759
"Aug 4, 2018",0.867
"Aug 4, 2018",0.017
"Aug 4, 2018",0.009
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0.001
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0.003
"Aug 4, 2018",0
"Aug 4, 2018",0.001
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 4, 2018",0
"Aug 5, 2018",0.008
"Aug 5, 2018",0.011
"Aug 5, 2018",0.017
"Aug 5, 2018",0.015
"Aug 5, 2018",0.012
"Aug 5, 2018",0.007
"Aug 5, 2018",0.002
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0.002
"Aug 5, 2018",0.005
"Aug 5, 2018",0.008
"Aug 5, 2018",0.005
"Aug 5, 2018",0.004
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0.016
"Aug 5, 2018",0.009
"Aug 5, 2018",0.007
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 5, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0.04
"Aug 6, 2018",0.071
"Aug 6, 2018",0.04
"Aug 6, 2018",0.03
"Aug 6, 2018",0.002
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0.003
"Aug 6, 2018",0.003
"Aug 6, 2018",0.006
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
"Aug 6, 2018",0
