,Freq,Ampli
0,0.0,944.9028875822571
1,0.004,7.340194511662958
2,0.008,14.71869044267101
3,0.012,16.45984867819608
4,0.016,8.353419066592012
5,0.02,520.727511806119
6,0.024,9.87873550853631
7,0.028,16.0039001603314
8,0.032,13.327600712239873
9,0.036000000000000004,14.624652161525326
10,0.04,183.32961450869306
11,0.044,21.312212441576815
12,0.048,21.814974298610473
13,0.052000000000000005,3.9658278287002298
14,0.056,8.009050836855796
15,0.06,169.4870805741046
16,0.064,3.087172626591166
17,0.068,6.521791803047022
18,0.07200000000000001,1.1173663689637485
19,0.076,9.136139311278914
20,0.08,182.35328310930058
21,0.084,14.493936759452387
22,0.088,14.35937427140271
23,0.092,18.023744536409495
24,0.096,10.007399566746036
25,0.1,143.21757774653707
26,0.10400000000000001,8.593201075871528
27,0.108,5.610214581490332
28,0.112,15.871618359480669
29,0.116,9.789698950195216
30,0.12,89.94192984952122
31,0.124,18.51679864910102
32,0.128,22.273038513723158
33,0.132,18.16673086226783
34,0.136,9.545497986246962
35,0.14,39.0251054087812
36,0.14400000000000002,17.801966342943356
37,0.148,3.3316511874700594
38,0.152,4.130173582079457
39,0.156,9.727339130692988
40,0.16,42.22146555701286
41,0.164,6.005048902022778
42,0.168,11.621224490803671
43,0.17200000000000001,13.706261871202347
44,0.176,9.51540099665829
45,0.18,85.42646907440397
46,0.184,21.59525275210944
47,0.188,11.078477772755235
48,0.192,9.835278659034655
49,0.196,19.377022778532204
50,0.2,79.51556784910466
51,0.20400000000000001,8.558969116723588
52,0.20800000000000002,4.242117820933991
53,0.212,17.87560980464902
54,0.216,1.1984576349200045
55,0.22,43.44767361300462
56,0.224,3.4199566900411735
57,0.228,3.6301651570923568
58,0.232,8.350329727131623
59,0.23600000000000002,9.499850394052459
60,0.24,43.061048889354375
61,0.244,19.935801278892747
62,0.248,10.101039997074983
63,0.252,9.498720092127943
64,0.256,7.7700643710302995
65,0.26,28.409633385044774
66,0.264,5.383929212460824
67,0.268,6.987602100206854
68,0.272,0.613687752794092
69,0.276,2.84854933706962
70,0.28,40.2495559171793
71,0.28400000000000003,8.420828503263879
72,0.28800000000000003,13.259547728329053
73,0.292,16.987835694337015
74,0.296,21.16286508600005
75,0.3,66.81077009652158
76,0.304,7.499295530420778
77,0.308,13.250174798124293
78,0.312,2.897307510325572
79,0.316,6.7134375208646455
80,0.32,47.22758884344334
81,0.324,6.32488265724941
82,0.328,28.103821987423363
83,0.332,5.8218046862776545
84,0.336,2.2773633622020375
85,0.34,5.765777220059059
86,0.34400000000000003,14.69850231637574
87,0.34800000000000003,20.33715911060547
88,0.352,11.89449336426188
89,0.356,11.738531376354688
90,0.36,19.068272551083453
91,0.364,7.639122836137804
92,0.368,15.279669696632526
93,0.372,15.603635657121412
94,0.376,6.138787764824483
95,0.38,46.28779016193501
96,0.384,10.703724694173816
97,0.388,17.536496972771573
98,0.392,15.003327903234187
99,0.396,10.006661143071836
100,0.4,69.88690312562098
101,0.404,6.646034217651167
102,0.40800000000000003,23.38462200468474
103,0.41200000000000003,0.7332176959033185
104,0.41600000000000004,4.355329831319883
105,0.42,37.656639225290824
106,0.424,5.481983212253198
107,0.428,11.096875124803892
108,0.432,8.845046356451117
109,0.436,17.261987253250037
110,0.44,32.4601999252648
111,0.444,8.480497980277047
112,0.448,5.426401871108795
113,0.452,3.858103122870634
114,0.456,8.85425786280732
115,0.46,38.035269616771174
116,0.464,17.6646688669374
117,0.468,6.700465903791434
118,0.47200000000000003,6.962471515102482
119,0.47600000000000003,7.294734781259672
120,0.48,35.589607715858996
121,0.484,15.715194759912173
122,0.488,18.98292133624926
123,0.492,2.2916016251769022
124,0.496,20.48339863651724
